Country,Level,Branch,Department,Name,State,Issues,URL,Table No,Table Rows,Link Column,Party Column,Term Start Column,Term End Column,District,Dynamic Parse,Read columns right to left,Find Date,Parse Rowspan,Rep Link,Party Link,Notes,Alt Link
United States of America,State,Executive,Statewide Elected Official,Attorney General,Arizona,,https://en.wikipedia.org/wiki/Arizona_Attorney_General,2,3,2,0,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Territory,
United States of America,State,Executive,Statewide Elected Official,Attorney General,Arizona,,https://en.wikipedia.org/wiki/Arizona_Attorney_General,3,3,3,4,5,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Treasurer,Arizona,,https://en.wikipedia.org/wiki/State_Treasurer_of_Arizona,2,3,2,3,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Superintendent of Public Instruction,Arizona,,https://en.wikipedia.org/wiki/Arizona_Superintendent_of_Public_Instruction,2,3,2,3,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Governors of Arkansas Territory,Arkansas,,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas,2,3,2,0,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Governor,Arkansas,,https://en.wikipedia.org/wiki/List_of_governors_of_Arkansas,3,3,2,4,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Statewide Elected Official,Lieutenant Governor,Arkansas,,https://en.wikipedia.org/wiki/Lieutenant_Governor_of_Arkansas,2,3,4,6,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Attorney General,Arkansas,,https://en.wikipedia.org/wiki/Arkansas_Attorney_General,2,3,2,5,3,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Auditor,Arkansas,,https://en.wikipedia.org/wiki/Arkansas_State_Auditor,2,3,2,3,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Commissioner of State Lands,Arkansas,,https://en.wikipedia.org/wiki/Arkansas_Commissioner_of_State_Lands,2,3,2,3,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Treasurer,Arkansas,,https://en.wikipedia.org/wiki/Treasurer_of_Arkansas,3,2,1,0,2,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Territory,
United States of America,State,Executive,Statewide Elected Official,Treasurer,Arkansas,,https://en.wikipedia.org/wiki/Treasurer_of_Arkansas,4,2,2,0,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Governor,California,,https://en.wikipedia.org/wiki/List_of_governors_of_California,1,3,3,5,4,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Lieutenant Governor,California,,https://en.wikipedia.org/wiki/List_of_lieutenant_governors_of_California,1,3,3,5,4,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Secretary of State,California,,https://en.wikipedia.org/wiki/Secretary_of_State_of_California,2,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Attorney General,California,,https://en.wikipedia.org/wiki/Attorney_General_of_California,2,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Statewide Elected Official,California State Superintendent of Public Instruction,California,,https://en.wikipedia.org/wiki/California_State_Superintendent_of_Public_Instruction,3,3,1,2,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Treasurer,California,,https://en.wikipedia.org/wiki/California_State_Treasurer,2,3,1,3,2,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Statewide Elected Official,Governors of the Territory of Colorado,Colorado,,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado,2,3,2,0,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Governor,Colorado,,https://en.wikipedia.org/wiki/List_of_governors_of_Colorado,3,3,2,4,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Lieutenant Governor,Colorado,,https://en.wikipedia.org/wiki/List_of_lieutenant_governors_of_Colorado,2,3,3,5,4,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Secretary of State,Colorado,,https://en.wikipedia.org/wiki/Secretary_of_State_of_Colorado,2,3,2,4,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Territory,
United States of America,State,Executive,Statewide Elected Official,Secretary of State,Colorado,,https://en.wikipedia.org/wiki/Secretary_of_State_of_Colorado,3,3,2,4,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Statewide Elected Official,Attorney General,Colorado,,https://en.wikipedia.org/wiki/Colorado_Attorney_General,2,3,1,2,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Territory,
United States of America,State,Executive,Statewide Elected Official,Attorney General,Colorado,,https://en.wikipedia.org/wiki/Colorado_Attorney_General,3,3,2,3,5,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Statewide Elected Official,Treasurer,Colorado,,https://en.wikipedia.org/wiki/Colorado_State_Treasurer,2,3,1,0,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Territory,
United States of America,State,Executive,Statewide Elected Official,Treasurer,Colorado,,https://en.wikipedia.org/wiki/Colorado_State_Treasurer,3,3,1,2,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
